LOCATION,LOCATION C,LATITUDE M,LATITUDE_1,LONGITUDE,LONGITUD_1,ROCK NAME,MIN. AGE (,MAX. AGE (,GEOL.,AGE,ROCK TYPE,SIO2(WT%),TIO2(WT%),B2O3(WT%),AL2O3(WT%),CR2O3(WT%),FE2O3(WT%),FEO(WT%),FEOT(WT%),CAO(WT%),MGO(WT%),MNO(WT%),NIO(WT%),K2O(WT%),NA2O(WT%),P2O5(WT%),H2O(WT%),H2OP(WT%),H2OM(WT%),H2OT(WT%),CO2(WT%),CO1(WT%),F(WT%),CL(WT%),CL2(WT%),OH(WT%),CH4(WT%),SO2(WT%),SO3(WT%),SO4(WT%),S(WT%),LOI(WT%),VOLATILES(,O(WT%),OTHERS(WT%,HE(CCM/G),HE(CCMSTP/,HE3(CCMSTP,HE3(AT/G),HE4(CCM/G),HE4(CCMSTP,HE4(AT/G),HE4(MOLE/G,HE4(NCC/G),HE(NCC/G),LI(PPM),BE(PPM),B(PPM),C(PPM),CO2(PPM),F(PPM),NA(PPM),MG(PPM),AL(PPM),P(PPM),S(PPM),CL(PPM),K(PPM),CA(PPM),SC(PPM),TI(PPM),V(PPM),CR(PPM),MN(PPM),FE(PPM),CO(PPM),NI(PPM),CU(PPM),ZN(PPM),GA(PPM),GE(PPM),AS(PPM),SE(PPM),BR(PPM),RB(PPM),SR(PPM),Y(PPM),ZR(PPM),NB(PPM),MO(PPM),RU(PPM),RH(PPM),PD(PPM),AG(PPM),CD(PPM),IN(PPM),SN(PPM),SB(PPM),TE(PPM),I(PPM),CS(PPM),BA(PPM),LA(PPM),CE(PPM),PR(PPM),ND(PPM),SM(PPM),EU(PPM),GD(PPM),TB(PPM),DY(PPM),HO(PPM),ER(PPM),TM(PPM),YB(PPM),LU(PPM),HF(PPM),TA(PPM),W(PPM),RE(PPM),OS(PPM),IR(PPM),PT(PPM),AU(PPM),HG(PPM),TL(PPM),PB(PPM),BI(PPM),TH(PPM),U(PPM),ND143_ND14,ND143_ND_1,EPSILON_ND,SR87_SR86,SR87_SR86_,PB206_PB20,PB206_PB_1,PB207_PB20,PB207_PB_1,PB208_PB20,PB208_PB_1,OS184_OS18,OS186_OS18,OS187_OS18,OS187_OS_1,RE187_OS18,RE187_OS_1,HF176_HF17,HE3_HE4,HE3_HE4(R/,HE4_HE3,HE4_HE3(R/,K40_AR40,AR40_K40,Ba/Th,La (PM),Sm (PM),La/Sm (PM),SAMPLE_1
ANDEAN ARC / PATAGONIAN PLATEAU LAVAS / ARGENTINA / MESETA DE SOMUNCURA,EL CUY,-39.799999999999997,-39.799999999999997,-68.500000000000000,-68.500000000000000,BASALT [18771],,,,PLIOCENE-QUATERNARY [18771],VOL,40.890000000000001,2.980000000000000,,11.550000000000001,,,,11.900000000000000,11.880000000000001,9.470000000000001,0.210000000000000,,1.490000000000000,4.650000000000000,1.690000000000000,,,,,,,,,,,,,,,,1.140000000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.000000000000000,,261.000000000000000,150.000000000000000,,,19.000000000000000,60.000000000000000,30.000000000000000,0.000000000000000,12.000000000000000,,,,,24.000000000000000,1591.000000000000000,31.500000000000000,245.000000000000000,86.599999999999994,,,,,,,,,,,,0.500000000000000,571.000000000000000,92.500000000000000,172.000000000000000,19.199999999999999,75.799999999999997,14.400000000000000,4.380000000000000,11.500000000000000,1.550000000000000,7.510000000000000,1.230000000000000,2.940000000000000,0.353000000000000,1.900000000000000,0.222000000000000,4.900000000000000,7.180000000000000,,,,,,,,,,,10.699999999999999,2.410000000000000,,,,,,,,,,,,,,,,,,,,,,,,,"53.36448598",134.643376999999987,32.432432429999999,"4.151504124",36.000000000000000
ANDEAN ARC / PATAGONIAN PLATEAU LAVAS / ARGENTINA,MESETA CHILE CHICO,-46.399999999999999,-46.399999999999999,-71.799999999999997,-71.799999999999997,TEPHRITE [7501],3000000 [7501],16000000 [7501],,NEOGENE [7501],VOL,41.030000000000001,2.950000000000000,,12.300000000000001,,3.520000000000000,10.070000000000000,,9.400000000000000,14.350000000000000,0.170000000000000,,1.360000000000000,2.480000000000000,0.460000000000000,,,,,,,,,,,,,,,,1.880000000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.000000000000000,,279.000000000000000,374.000000000000000,,,63.000000000000000,401.000000000000000,,,,,,,,,575.000000000000000,18.000000000000000,140.000000000000000,45.000000000000000,,,,,,,,,,,,,165.000000000000000,26.000000000000000,58.000000000000000,,28.000000000000000,6.270000000000000,1.920000000000000,6.000000000000000,,4.630000000000000,0.780000000000000,1.800000000000000,,1.800000000000000,0.270000000000000,5.600000000000000,,,,,,,,,,,,4.600000000000000,,,,,,,,,,,,,,,,,,,,,,,,,,"35.86956522",37.845705969999997,14.121621620000001,"2.679983006",36.000000000000000
ANDEAN ARC / PATAGONIAN PLATEAU LAVAS / ARGENTINA / MESETA DE SOMUNCURA,PILLAHUINCO CHICO,-40.299999999999997,-40.299999999999997,-68.799999999999997,-68.799999999999997,BASALT [18771],,,,PLIOCENE-QUATERNARY [18771],VOL,41.579999999999998,2.940000000000000,,11.260000000000000,,,,12.010000000000000,11.500000000000000,10.960000000000001,0.210000000000000,,1.190000000000000,4.820000000000000,1.650000000000000,,,,,,,,,,,,,,,,0.510000000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.000000000000000,,254.000000000000000,270.000000000000000,,,24.000000000000000,110.000000000000000,30.000000000000000,0.000000000000000,16.000000000000000,,,,,9.000000000000000,1460.000000000000000,31.000000000000000,280.000000000000000,112.000000000000000,,,,,,,,,,,,0.500000000000000,485.000000000000000,89.900000000000006,170.000000000000000,19.000000000000000,75.599999999999994,14.400000000000000,4.310000000000000,11.600000000000000,1.510000000000000,7.360000000000000,1.230000000000000,3.020000000000000,0.369000000000000,1.900000000000000,0.218000000000000,5.600000000000000,7.350000000000000,,,,,,,,,,,10.699999999999999,2.950000000000000,,,,,,,,,,,,,,,,,,,,,,,,,"45.3271028",130.858806399999992,32.432432429999999,"4.034813197",37.000000000000000
ANDEAN ARC / PATAGONIAN PLATEAU LAVAS / ARGENTINA / MESETA DE SOMUNCURA,EL CUY,-39.799999999999997,-39.799999999999997,-68.500000000000000,-68.500000000000000,BASALT [18771],,,,PLIOCENE-QUATERNARY [18771],VOL,41.649999999999999,3.020000000000000,,11.670000000000000,,,,12.289999999999999,11.910000000000000,9.940000000000000,0.220000000000000,,1.590000000000000,4.690000000000000,1.680000000000000,,,,,,,,,,,,,,,,0.890000000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.000000000000000,,243.000000000000000,210.000000000000000,,,34.000000000000000,100.000000000000000,40.000000000000000,70.000000000000000,20.000000000000000,,,,,17.000000000000000,1603.000000000000000,31.899999999999999,195.000000000000000,106.000000000000000,,,,,,,,,,,,0.600000000000000,960.000000000000000,93.099999999999994,174.000000000000000,19.500000000000000,77.599999999999994,14.500000000000000,4.410000000000000,11.800000000000001,1.570000000000000,7.750000000000000,1.240000000000000,2.960000000000000,0.353000000000000,1.960000000000000,0.224000000000000,3.800000000000000,7.280000000000000,,,,,,,,,,,11.199999999999999,2.060000000000000,,,,,,,,,,,,,,,,,,,,,,,,,"85.71428571",135.516739400000006,32.657657659999998,"4.149616022",36.000000000000000
ANDEAN ARC / PATAGONIAN PLATEAU LAVAS / ARGENTINA / PALI AIKE VOLCANIC FIELD,TIMONE LAKE,-52.014400000000002,-52.014400000000002,-70.204400000000007,-70.204400000000007,BASALT [12786],,,,QUATERNARY [12786],VOL,41.719999999999999,2.600000000000000,,9.060000000000000,,,,11.359999999999999,9.060000000000000,17.100000000000001,0.180000000000000,,1.660000000000000,2.960000000000000,0.990000000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,650.000000000000000,,,,497.000000000000000,,,,,,,,,,,,,,0.000880000000000,,0.001270000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000370000000000,0.000520000000000,0.001130000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,0.000000000000000,0.000000000000000,#DIV/0!,32.119998931884766
ANDEAN ARC / PATAGONIAN PLATEAU LAVAS / ARGENTINA / MESETA DE SOMUNCURA,PILLAHUINCO CHICO,-40.299999999999997,-40.299999999999997,-68.799999999999997,-68.799999999999997,BASALT [18771],,,,PLIOCENE-QUATERNARY [18771],VOL,42.149999999999999,2.780000000000000,,12.130000000000001,,,,11.699999999999999,11.250000000000000,10.359999999999999,0.200000000000000,,2.050000000000000,4.160000000000000,1.600000000000000,,,,,,,,,,,,,,,,0.210000000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.000000000000000,,216.000000000000000,250.000000000000000,,,22.000000000000000,90.000000000000000,30.000000000000000,40.000000000000000,17.000000000000000,,,,,43.000000000000000,1501.000000000000000,34.299999999999997,332.000000000000000,109.000000000000000,,,,,,,,,,,,0.500000000000000,842.000000000000000,83.500000000000000,159.000000000000000,17.800000000000001,70.799999999999997,13.800000000000001,3.950000000000000,11.400000000000000,1.550000000000000,7.830000000000000,1.320000000000000,3.290000000000000,0.434000000000000,2.340000000000000,0.288000000000000,7.300000000000000,7.000000000000000,,,,,,,,,,,10.800000000000001,3.060000000000000,,,,,,,,,,,,,,,,,,,,,,,,,"77.96296296",121.542940299999998,31.081081080000001,"3.910511993",37.000000000000000
ANDEAN ARC / PATAGONIAN PLATEAU LAVAS / ARGENTINA,MESETA CHILE CHICO,-46.399999999999999,-46.399999999999999,-71.799999999999997,-71.799999999999997,BASANITE [7501],3000000 [7501],16000000 [7501],,NEOGENE [7501],VOL,42.899999999999999,2.770000000000000,,12.000000000000000,,13.320000000000000,,,9.830000000000000,12.720000000000001,0.180000000000000,,0.900000000000000,2.900000000000000,0.470000000000000,,,,,,,,,,,,,,,,1.740000000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.000000000000000,,280.000000000000000,440.000000000000000,,,65.000000000000000,345.000000000000000,,,,,,,,13.000000000000000,615.000000000000000,20.000000000000000,182.000000000000000,37.000000000000000,,,,,,,,,,,,,195.000000000000000,26.500000000000000,52.000000000000000,,29.500000000000000,6.000000000000000,1.920000000000000,4.900000000000000,,4.100000000000000,,1.900000000000000,,1.450000000000000,,,,,,,,,,,,,,2.200000000000000,,,,,,,,,,,,,,,,,,,,,,,,,,"88.63636364",38.573508009999998,13.513513509999999,"2.854439592",36.000000000000000
ANDEAN ARC / PATAGONIAN PLATEAU LAVAS / ARGENTINA,MESETA CHILE CHICO,-46.399999999999999,-46.399999999999999,-71.799999999999997,-71.799999999999997,BASANITE [7501],3000000 [7501],16000000 [7501],,NEOGENE [7501],VOL,43.000000000000000,2.220000000000000,,11.250000000000000,,12.420000000000000,,,8.800000000000002,15.900000000000000,0.180000000000000,,0.880000000000000,2.270000000000000,0.580000000000000,,,,,,,,,,,,,,,,2.600000000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.000000000000000,,225.000000000000000,385.000000000000000,,,70.000000000000000,610.000000000000000,,,,,,,,14.000000000000000,595.000000000000000,21.000000000000000,182.000000000000000,57.000000000000000,,,,,,,,,,,,,430.000000000000000,37.000000000000000,66.000000000000000,,34.000000000000000,6.500000000000000,2.050000000000000,5.700000000000000,,4.300000000000000,,2.000000000000000,,1.600000000000000,,,,,,,,,,,,,,4.200000000000000,,,,,,,,,,,,,,,,,,,,,,,,,,"102.3809524",53.857350799999999,14.639639640000000,"3.678871347",36.000000000000000
ANDEAN ARC / PATAGONIAN PLATEAU LAVAS / ARGENTINA / PALI AIKE VOLCANIC FIELD,,-51.995300000000000,-51.995300000000000,-70.172200000000004,-70.172200000000004,BASANITE [8990],,,,NEOGENE [8990],VOL,43.200000000000003,2.460000000000000,,11.480000000000000,,4.990000000000000,6.180000000000000,,9.410000000000000,16.039999999999999,0.160000000000000,,1.190000000000000,3.450000000000000,0.750000000000000,,,,,,,,,,,,,,,,0.700000000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.000000000000000,,230.000000000000000,550.000000000000000,,,60.000000000000000,495.000000000000000,,,,,,,,23.699999999999999,741.000000000000000,22.500000000000000,193.000000000000000,55.000000000000000,,,,,,,,,,,,0.350000000000000,483.000000000000000,40.000000000000000,82.000000000000000,9.800000000000001,40.000000000000000,8.300000000000002,2.690000000000000,7.400000000000000,1.030000000000000,5.100000000000000,0.860000000000000,2.010000000000000,0.260000000000000,1.340000000000000,0.170000000000000,4.300000000000000,3.110000000000000,,,,,,,,,,,4.800000000000000,1.320000000000000,,,,,,,,,,,,,,,,,,,,,,,,,"100.625",58.224163030000000,18.693693690000000,"3.114641974",32.119998931884766
ANDEAN ARC / PATAGONIAN PLATEAU LAVAS / ARGENTINA / PALI AIKE VOLCANIC FIELD,,-52.020299999999999,-52.020299999999999,-70.204700000000003,-70.204700000000003,BASANITE [8990],,,,NEOGENE [8990],VOL,43.390000000000001,2.770000000000000,,10.140000000000001,,4.780000000000000,6.770000000000000,,10.490000000000000,14.990000000000000,0.170000000000000,,1.250000000000000,3.490000000000000,0.750000000000000,,,,,,,,,,,,,,,,1.000000000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.000000000000000,,239.000000000000000,476.000000000000000,,,56.000000000000000,429.000000000000000,,,,,,,,31.600000000000001,819.000000000000000,22.100000000000001,200.000000000000000,68.000000000000000,,,,,,,,,,,,0.770000000000000,598.000000000000000,49.000000000000000,93.000000000000000,10.800000000000001,43.000000000000000,8.600000000000000,2.610000000000000,7.300000000000000,0.970000000000000,4.800000000000000,0.830000000000000,1.850000000000000,0.250000000000000,1.360000000000000,0.170000000000000,4.600000000000000,3.600000000000000,,,,,,,,,,,6.400000000000000,1.620000000000000,,,,,,,,,,,,,,,,,,,,,,,,,"93.4375",71.324599710000001,19.369369370000001,"3.682339799",32.119998931884766
