LOCATION,LOCATION C,LATITUDE M,LATITUDE_1,LONGITUDE,LONGITUD_1,ROCK NAME,MIN. AGE (,MAX. AGE (,GEOL.,AGE,ROCK TYPE,SIO2(WT%),TIO2(WT%),B2O3(WT%),AL2O3(WT%),CR2O3(WT%),FE2O3(WT%),FEO(WT%),FEOT(WT%),CAO(WT%),MGO(WT%),MNO(WT%),NIO(WT%),K2O(WT%),NA2O(WT%),P2O5(WT%),H2O(WT%),H2OP(WT%),H2OM(WT%),H2OT(WT%),CO2(WT%),CO1(WT%),F(WT%),CL(WT%),CL2(WT%),OH(WT%),CH4(WT%),SO2(WT%),SO3(WT%),SO4(WT%),S(WT%),LOI(WT%),VOLATILES(,O(WT%),OTHERS(WT%,HE(CCM/G),HE(CCMSTP/,HE3(CCMSTP,HE3(AT/G),HE4(CCM/G),HE4(CCMSTP,HE4(AT/G),HE4(MOLE/G,HE4(NCC/G),HE(NCC/G),LI(PPM),BE(PPM),B(PPM),C(PPM),CO2(PPM),F(PPM),NA(PPM),MG(PPM),AL(PPM),P(PPM),S(PPM),CL(PPM),K(PPM),CA(PPM),SC(PPM),TI(PPM),V(PPM),CR(PPM),MN(PPM),FE(PPM),CO(PPM),NI(PPM),CU(PPM),ZN(PPM),GA(PPM),GE(PPM),AS(PPM),SE(PPM),BR(PPM),RB(PPM),SR(PPM),Y(PPM),ZR(PPM),NB(PPM),MO(PPM),RU(PPM),RH(PPM),PD(PPM),AG(PPM),CD(PPM),IN(PPM),SN(PPM),SB(PPM),TE(PPM),I(PPM),CS(PPM),BA(PPM),LA(PPM),CE(PPM),PR(PPM),ND(PPM),SM(PPM),EU(PPM),GD(PPM),TB(PPM),DY(PPM),HO(PPM),ER(PPM),TM(PPM),YB(PPM),LU(PPM),HF(PPM),TA(PPM),W(PPM),RE(PPM),OS(PPM),IR(PPM),PT(PPM),AU(PPM),HG(PPM),TL(PPM),PB(PPM),BI(PPM),TH(PPM),U(PPM),ND143_ND14,ND143_ND_1,EPSILON_ND,SR87_SR86,SR87_SR86_,PB206_PB20,PB206_PB_1,PB207_PB20,PB207_PB_1,PB208_PB20,PB208_PB_1,OS184_OS18,OS186_OS18,OS187_OS18,OS187_OS_1,RE187_OS18,RE187_OS_1,HF176_HF17,HE3_HE4,HE3_HE4(R/,HE4_HE3,HE4_HE3(R/,K40_AR40,AR40_K40,Ba/Th,La (PM),Sm (PM),La/Sm (PM),SAMPLE_1
ANDEAN ARC / SOUTHERN ANDEAN VOLCANIC ZONE / ARGENTINA / NEVADO VOLCANIC FIELD,"PAYENIA VOLCANIC PROVINCE, SOUTHERN MENDOZA, PUNTO AGUA CAPATAZ",-35.355992999999998,-35.355992999999998,-68.187008000000006,-68.187008000000006,"BASALT, ALKALINE [18602]",,,,PLEISTOCENE-HOLOCENE [18602],VOL,43.810000000000002,1.480000000000000,,15.020000000000000,,,,9.369999999999999,11.920000000000000,9.619999999999999,0.170000000000000,,1.400000000000000,3.020000000000000,0.680000000000000,,,,,,,,,,,,,,,,2.000000000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.418536039999999,0.867916868000000,282.665975600000024,292.593029500000000,0.124641947000000,,43.328123269999999,152.588640300000009,68.289237979999996,66.668498200000002,19.632764179999999,,,,,33.695869219999999,1112.686122000000069,23.725395899999999,139.300000000000011,17.281813889999999,,,,,,,,,,,,2.437554212000000,678.727317699999958,31.851332050000000,64.786644659999993,8.162244788000002,33.240571090000003,7.003522073000000,2.063269378000000,6.377646996000000,0.902373840000000,4.724103897000000,0.849417794000000,2.194904486000000,0.317739914000000,1.790122952000000,0.257126484000000,3.510000000000000,0.872927237000000,,,,,,,,,10.286405230000000,,6.487694677000000,1.893656183000000,0.512816000000000,,,0.703948000000000,,18.565999999999999,,15.600000000000000,,38.445999999999998,,,,,,,,0.282994000000000,,,,,,,"104.6176418",46.362928750000002,15.773698359999999,"2.939255442",36.840000152587891
ANDEAN ARC / SOUTHERN ANDEAN VOLCANIC ZONE / CHILE / ANTUCO,,-37.477823999999998,-37.477823999999998,-71.308993999999998,-71.308993999999998,NOT GIVEN [23729],,,,HOLOCENE [23729],VOL,44.100000000000001,2.140000000000000,,23.520000000000000,,,,7.160000000000000,4.250000000000000,4.520000000000000,,,0.570000000000000,4.350000000000000,9.380000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,0.000000000000000,0.000000000000000,#DIV/0!,47.080001831054688
ANDEAN ARC / NORTHERN ANDEAN VOLCANIC ZONE / ECUADOR,LA PLATA DEPOSIT,-0.390500000000000,-0.390500000000000,-78.940799999999996,-78.940799999999996,"BASALT, ALKALINE [9979]",,,,NEOGENE [9979],VOL,44.479999999999997,3.440000000000000,,15.920000000000000,,4.670000000000000,7.500000000000000,,9.359999999999999,7.550000000000000,0.180000000000000,,1.590000000000000,3.450000000000000,1.150000000000000,,,,,,,,,,,,,,,,0.700000000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,265.000000000000000,192.000000000000000,,,51.000000000000000,129.000000000000000,37.000000000000000,,,,,,,39.000000000000000,896.000000000000000,31.000000000000000,329.000000000000000,75.000000000000000,,,,,,,,,,,,,520.000000000000000,56.000000000000000,119.000000000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,756.914119400000004,0.000000000000000,#DIV/0!,57.669998168945312
ANDEAN ARC / NORTHERN ANDEAN VOLCANIC ZONE / ECUADOR / SUMACO,,-0.529200000000000,-0.529200000000000,-77.579400000000007,-77.579400000000007,ABSAROKITE [13717] / BASALT [18438],,,,QUATERNARY [18438],VOL,44.500000000000000,1.640000000000000,,16.840000000000000,,,,9.940000000000000,11.550000000000001,5.380000000000000,0.200000000000000,,3.280000000000000,3.920000000000000,0.430000000000000,,,,,,,,0.050000000000000,,,,,,,,0.340000000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.800000000000001,,284.000000000000000,37.000000000000000,,,,17.000000000000000,122.000000000000000,100.000000000000000,,,,,,143.599999999999994,2612.000000000000000,35.500000000000000,541.000000000000000,31.300000000000001,,,,,,,,,,,,2.300000000000000,2111.000000000000000,99.500000000000000,199.599999999999994,23.199999999999999,92.099999999999994,15.600000000000000,4.300000000000000,11.400000000000000,1.300000000000000,7.000000000000000,1.200000000000000,2.800000000000000,0.400000000000000,2.200000000000000,0.300000000000000,7.200000000000000,1.500000000000000,,,,,,,,,11.800000000000001,,12.600000000000000,4.400000000000001,0.512876000000000,,,0.704111000000000,,18.905000000000001,,15.585000000000001,,38.670000000000002,,,,,,,,,,,,,,,"167.5396825",144.832605500000000,35.135135140000003,"4.122158773",44.000000000000000
ANDEAN ARC / SOUTHERN ANDEAN VOLCANIC ZONE / ARGENTINA / LLANCANELO VOLCANIC FIELD,"PAYENIA VOLCANIC PROVINCE, SOUTHERN MENDOZA, CARAPACHO",-35.828690000000002,-35.828690000000002,-69.151280000000000,-69.151280000000000,BASALT [18961],,,,QUATERNARY [18961],VOL,44.500000000000000,1.267000000000000,,11.880000000000001,,,,9.583000000000000,7.162000000000000,12.230000000000000,0.133800000000000,,1.113000000000000,2.084000000000000,0.283900000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.218104000000000,,241.970009199999993,,,,,,45.980543439999998,,14.598649160000001,,,,,26.041770830000001,433.728987500000017,17.234034760000000,124.487293300000005,10.069947070000000,,,,,,,,,,,,1.622842710000000,390.661238599999990,13.710940330000000,27.886540750000002,3.719361304000000,17.136941610000001,3.960013621000000,1.261517474000000,3.772762539000000,0.629718453000000,3.432936501000000,0.645669471000000,1.815641972000000,0.249668109000000,1.627003845000000,0.233717091000000,3.190203617000000,0.597816417000000,,,,,,,,,4.133394252000001,,3.014048896000000,0.690054913000000,,,,,,,,,,,,,,,,,,,,,,,,,"129.6134376",19.957700630000001,8.918949596999999,"2.237673889",48.580001831054688
ANDEAN ARC / SOUTHERN ANDEAN VOLCANIC ZONE / ARGENTINA / LLANCANELO VOLCANIC FIELD,"PAYENIA VOLCANIC PROVINCE, SOUTHERN MENDOZA, CARAPACHO",-35.828690000000002,-35.828690000000002,-69.151280000000000,-69.151280000000000,BASALT [18961],,,,QUATERNARY [18961],VOL,44.700000000000003,1.323000000000000,,14.180000000000000,,,,9.907000000000000,9.835000000000001,9.898999999999999,0.148700000000000,,1.140000000000000,2.547000000000000,0.343800000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.244280710000002,,246.819367999999997,,,,,,61.025618510000001,,16.357095009999998,,,,,25.148685250000000,615.550645099999997,20.871318840000001,133.824444199999988,11.306458770000001,,,,,,,,,,,,1.176624083000000,392.695675300000005,17.875769070000000,35.242991330000002,4.764317408000000,21.282336140000002,4.987938682000000,1.498471523000000,4.765014048000000,0.764910150000000,4.145004910000000,0.794169008000000,2.138683206000000,0.305824732000000,1.943624151000000,0.296071779000000,3.413533455000000,0.693156283000000,,,,,,,,,5.712443742000000,,3.430252803000000,0.982958307000000,,,,,,,,,,,,,,,,,,,,,,,,,"114.4800975",26.020042310000001,11.234096129999999,"2.316166963",48.580001831054688
ANDEAN ARC / NORTHERN ANDEAN VOLCANIC ZONE / ECUADOR / CHACHIMBIRO,,0.770000000000000,0.770000000000000,-78.370000000000005,-78.370000000000005,NOT GIVEN [23710],,,,QUATERNARY [23710],VOL,44.890000000000001,1.150000000000000,,19.440000000000001,,,,10.890000000000001,12.449999999999999,7.630000000000000,0.200000000000000,,0.180000000000000,1.380000000000000,0.450000000000000,,,,,,,,,,,,,,,,0.180000000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.300000000000001,,318.800000000000011,89.200000000000003,,,14.539999999999999,16.210000000000001,24.050000000000001,69.109999999999999,20.199999999999999,,,,,27.500000000000000,546.889999999999986,10.170000000000000,80.480000000000004,2.980000000000000,1.330000000000000,,,,,,,,,,,0.760000000000000,612.330000000000041,11.670000000000000,23.379999999999999,2.900000000000000,12.420000000000000,2.540000000000000,0.780000000000000,2.280000000000000,0.310000000000000,2.020000000000000,0.380000000000000,1.000000000000000,0.150000000000000,1.040000000000000,0.150000000000000,2.340000000000000,0.210000000000000,0.270000000000000,,,,,,,,5.870000000000000,,2.650000000000000,1.160000000000000,,,,,,,,,,,,,,,,,,,,,,,,,"231.0679245",16.986899560000001,5.720720721000000,"2.969363546",50.500000000000000
ANDEAN ARC / SOUTHERN ANDEAN VOLCANIC ZONE / ARGENTINA / NEVADO VOLCANIC FIELD,"PAYENIA VOLCANIC PROVINCE, SOUTHERN MENDOZA, CERRO GUADOLOSO CHICO",-36.149639999999998,-36.149639999999998,-68.693122000000002,-68.693122000000002,"BASALT, ALKALINE [18602]",,,,PLEISTOCENE-HOLOCENE [18602],VOL,44.899999999999999,1.630000000000000,,14.390000000000001,,,,10.010000000000000,10.010000000000000,10.000000000000000,0.180000000000000,,1.490000000000000,2.970000000000000,0.740000000000000,,,,,,,,,,,,,,,,2.100000000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.265136739999999,0.957971207000000,221.062846699999994,356.277645000000007,0.130626572000000,,44.069057579999999,223.539632600000004,47.297948280000000,75.565644669999998,19.337318480000000,,,,,35.485691760000002,1146.914700000000039,24.755915989999998,169.904258199999987,22.763503849999999,,,,,,,,,,,,2.143208827000000,724.531523699999980,37.035182870000000,74.298144359999995,9.189406927000000,37.691527819999997,7.558101611000000,2.289820969000000,7.073242263000000,0.990375311000000,4.982538007000000,0.883535258000000,2.304468804000000,0.318136833000000,1.906576083000000,0.281974989000000,3.692460095000000,1.176800883000000,,,,,,,,,10.406170140000000,,7.293093283000000,1.974778805000000,0.512820000000000,,,0.703865000000000,,18.582999999999998,,15.601000000000001,,38.456000000000003,,,,,,,,,,,,,,,"99.3448864",53.908563129999997,17.022751379999999,"3.166853697",33.909999847412109
ANDEAN ARC / NORTHERN ANDEAN VOLCANIC ZONE / ECUADOR,LA PLATA DEPOSIT,-0.390500000000000,-0.390500000000000,-78.940799999999996,-78.940799999999996,BASANITE [9979],,,,NEOGENE [9979],VOL,44.950000000000003,3.580000000000000,,16.300000000000001,,1.610000000000000,10.250000000000000,,9.330000000000000,7.360000000000000,0.180000000000000,,1.370000000000000,3.730000000000000,0.980000000000000,,,,,,,,,,,,,,,,0.400000000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,277.000000000000000,169.000000000000000,,,47.000000000000000,110.000000000000000,41.000000000000000,,,,,,,41.000000000000000,919.000000000000000,31.000000000000000,337.000000000000000,76.000000000000000,,,,,,,,,,,,,541.000000000000000,58.000000000000000,126.000000000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,787.481804900000043,0.000000000000000,#DIV/0!,57.669998168945312
ANDEAN ARC / SOUTHERN ANDEAN VOLCANIC ZONE / ARGENTINA / MENDOZA BASALTIC VOLCANIC FIELD,"SAN RAFAEL REGION, LOS TOLDITOS GROUP, CHATO",-34.000000000000000,-35.170000000000002,-68.000000000000000,-70.000000000000000,BASALT [13646],,,,QUATERNARY [13646],VOL,44.960000000000001,1.330000000000000,,15.140000000000001,,,,10.380000000000001,11.850000000000000,10.949999999999999,0.180000000000000,,1.350000000000000,2.570000000000000,0.640000000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,0.000000000000000,0.000000000000000,#DIV/0!,37.169998168945312
