Mode,SIO2(WT%),TIO2(WT%),AL2O3(WT%),FEOT(WT%),CAO(WT%),MGO(WT%),MNO(WT%),K2O(WT%),NA2O(WT%),P2O5(WT%),LOI(WT%),SC(PPM),TI(PPM),V(PPM),CR(PPM),MN(PPM),CO(PPM),NI(PPM),CU(PPM),ZN(PPM),GA(PPM),RB(PPM),SR(PPM),Y(PPM),ZR(PPM),NB(PPM),CS(PPM),BA(PPM),LA(PPM),CE(PPM),PR(PPM),ND(PPM),SM(PPM),EU(PPM),GD(PPM),TB(PPM),DY(PPM),HO(PPM),ER(PPM),TM(PPM),YB(PPM),LU(PPM),HF(PPM),TA(PPM),PB(PPM),TH(PPM),U(PPM),ND143_ND14,SR87_SR86,PB206_PB20,PB207_PB20,PB208_PB20,Ba/Th,La (PM),Sm (PM),La/Sm (PM),Crustal Thickness
Flat,63.28,0.57,16.67,5.53,5.49,2.75,0.09,1.06,4.44,0.14,,15,,125,32,,,16,23,74,,16.2,419,11.7,79,2.95,0.48,494,7.77,15.6,2.07,9.4,2.57,0.81,2.51,0.38,2.26,0.43,1.1,0.16,0.99,0.16,2.41,0.21,4.12,1.02,0.48,0.512954,0.704139,18.921,15.595,38.572,484.3137255,11.31004367,5.788288288,1.95395307,50.5
Flat,63.28,0.58,17.41,4.33,5.08,2.39,0.09,1.27,4.45,0.27,0.49,,,65,27,,,18,,62,19,22.4,591,8.5,119,3.3,,397,10,23,,,,,,,,,,,,,,,9,,,,,,,,,577.874818,0,,47.31999969
Flat,63.29,0.64,16,3.96,3.57,1.7,0.1,2.77,4.85,0.16,,11,,79,48,,,29,18,64,19,87,342,23,222,7,,557.7,21,46,,23,,,,,,,,,,,,,16,9.98,2.72,,,,,,55.88176353,30.56768559,0,,54.33000183
Flat,63.3,,,,,,,,,,,,,,,,,,,,,60,793,,,,,,,,,,,,,,,,,,,,,,,,,,0.70468,,,,,0,0,,48.33000183
Flat,63.3,,,,,,,,,,,,,,,,,,,,,72,702,,,,,,,,,,,,,,,,,,,,,,,,,,0.70475,18.502,15.6,38.429,,0,0,,48.33000183
Flat,63.32931242,0.512665862,17.34016888,4.9,5.37796542,2.27181343,0.0804,0.99517491,4.523522316,0.120627262,0.21,12.6,,109,25,,15,13,,,,14,456,10.4,78,2.8,,515,7.3,15,,9.3,2.2,0.72,2.3,,1.85,,1,,0.92,,,,,1.1,,,,,,,468.1818182,10.62590975,4.954954955,2.144501786,50.5
Flat,63.33,0.62,16.58,,5.61,2.27,0.08,1.05,4.17,0.15,,9.5,,132,42,,,13,,,,18.8,439,8.9,75,3.5,,540,9,20,,11,2.7,0.81,2.6,,1.8,,0.8,,0.63,,,,,1.5,,,,,,,360,13.10043668,6.081081081,2.154294032,57.66999817
Flat,63.34,0.85,16.46,4.98,4.08,1.77,0.12,2.77,4.73,0.29,,16.6,,65,0,,,13,,70,19,91.4,388,29.4,241,8,,588,19.7,,,,4.24,0.14,,,,,,,1.4,,4.06,0.351,18,10,4,,,18.628,15.622,38.53,58.8,855.8951965,0,,53.66999817
Flat,63.34204705,0.532877539,16.94148401,5.07,5.379046853,2.413030364,0.0804,0.995375025,4.534486226,0.150814398,0.39,11.5,,118,32,,15,15,,,,15.6,496,8.8,72,2.7,,475,7.8,15.5,,10.5,2.2,0.75,2.4,,1.6,,0.8,,0.71,,,,,0.9,,,,,,,527.7777778,11.35371179,4.954954955,2.29138547,50.5
Flat,63.34841629,0.522875817,16.89291101,5.19,5.429864253,2.483660131,0.0804,0.995475113,4.343891403,0.130718954,0.21,13.7,,128,29,,16,15,,,,15,433,11,37,3.2,,515,7.7,15.5,,9.6,2.3,0.73,2.6,,1.85,,1.1,,0.98,,,,,1,,,,,,,515,11.20815138,5.18018018,2.163660528,50.5
Flat,63.35,1.05,15.7,,3.86,1.58,0.13,3.2,4.37,0.34,,15.7,,214,4,,8.7,7,,90,18.5,110,284,40.7,300,11.2,4.3,638,34.1,85.1,,42.8,8.74,1.72,,1.46,,,,,4.19,0.63,7,0.75,,11.28,,0.51269,0.70475,,,,56.56028369,49.63609898,19.68468468,2.521559262,36.84000015
Flat,63.35,0.6,17.28,4.44,5.11,2.42,0.09,1.24,4.41,0.19,0.45,,,83,28,,,21,,65,20,22.7,585,8.7,125,3.7,,422,11,20,,,,,,,,,,,,,,,9,,,,,,,,,614.2649199,0,,47.31999969
Flat,63.36,0.85,16.21,,4.25,1.87,0.11,3.06,4.41,0.22,,14.4,,106,8.6,,10.4,11,,62,18.9,115,346,28.2,288,10,5.24,564,27.1,67.9,,32.5,6.1,1.27,,0.61,,,,,2.77,0.43,6.8,0.63,,13.2,,0.51273,0.70414,,,,42.72727273,39.44687045,13.73873874,2.871214833,54.33000183
Flat,63.37,0.57,16.54,5.63,5.41,2.68,0.09,1.07,4.51,0.14,,16,,129,31,,,11,27,75,,17.1,425,12.3,83,3.12,0.45,517,8.01,16.4,2.22,10,2.68,0.83,2.64,0.4,2.36,0.46,1.21,0.17,0.99,0.16,2.52,0.22,4.31,1.04,0.49,,,,,,497.1153846,11.65938865,6.036036036,1.931630059,50.5
Flat,63.37,0.55,16.69,5.39,5.37,2.77,0.08,1.06,4.57,0.15,,14,,120,35,,,16,30,75,,16.1,451,10.4,78,2.73,0.57,463,7.68,15.5,2.05,9.45,2.47,0.75,2.37,0.35,1.97,0.39,0.99,0.14,0.84,0.14,2.35,0.19,4.16,0.96,0.47,,,,,,482.2916667,11.1790393,5.563063063,2.009511518,50.5
Flat,63.38310452,0.521094298,17.13598557,4.97,5.431405953,2.314861209,0.0802,0.992083375,4.489427798,0.130273575,0.13,12.3,,134,22,,15,13,,,,15.1,448,10.8,79,2.9,,480,7.7,16,,10.5,2.3,0.7,2.5,,1.9,,1,,0.97,,,,,1.1,,,,,,,436.3636364,11.20815138,5.18018018,2.163660528,50.5
Flat,63.4,0.48,16.3,4.97,5.12,2.52,0.08,1.95,3.98,0.15,0.88,10.2,,126,54,,16,30,,,,50,525,9,58,3.5,,810,16,29,,13.2,2.6,0.72,2.35,,1.55,,0.8,,0.72,,,,,4.85,,,,,,,167.0103093,23.28966521,5.855855856,3.977158213,57.66999817
Flat,63.4,0.716,16,4.04,4.25,1.91,0.076,3.25,3.88,0.213,-0.0177,0.873078733,,8.240640671,6,,1.454941296,0.27930337,9.467250153,35.19337396,,70.14596843,45.993361,6.92525026,124,12,5.407972148,971.1636394,15.30568049,31.68809467,3.427229425,10.82454403,1.701222361,0.567424791,1.967098444,0.292317973,1.309827446,0.266944259,0.680094644,0.130252027,0.743141746,0.124151416,2.914941426,0.753256655,12.00582314,11.22322645,2.1145406,0.512458576,0.7063158,18.84005822,15.65580911,38.97474539,86.53159087,22.2790109,3.831581894,5.814572549,61
Flat,63.4,0.64,15.48,3.69,4.6,2.27,0.06,3.42,3.75,0.19,,7,,77,43,,,15,,,,183,459,14,197,,,779,39.7,79.6,,32.3,5.8,1.3,4.6,,2.5,,1.9,,1.6,,,,,,,0.512359,0.706435,,,,,57.7874818,13.06306306,4.423731366,61
Flat,63.41561308,0.511739916,17.35902067,4.83,5.518763797,2.277744331,0.0803,0.993377483,4.344772226,0.130443508,0.02,12.3,,119,24,,14,14,,,,14.7,464,10.7,77,2.8,,495,7.2,15,,9.5,2.2,0.73,2.2,,1.9,,1,,0.94,,,,,1.05,,,,,,,471.4285714,10.48034934,4.954954955,2.11512505,50.5
Flat,63.42,0.59,17.47,4.43,5.18,2.56,0.09,1.23,4.67,0.1,0.46,,,76,31,,,20,,67,20,21.9,588,8.8,122,3.4,,454,17,22,,,,,,,,,,,,,,,9,,,,,,,,,660.8442504,0,,47.31999969
Flat,63.43,0.61,17.37,4.45,5.2,2.46,0.09,1.24,4.49,0.29,-0.1,,,70,26,,,16,,63,20,23.5,580,9,120,3.3,,471,10,20,,,,,,,,,,,,,,,9,,,,,,,,,685.5895197,0,,47.31999969
Flat,63.43171586,0.500250125,17.10855428,4.91,5.452726363,2.291145573,0.08004002,1.010505253,4.542271136,0.130065033,-0.05,12.6,,120,23,,14,13,,,,15.5,451,10.8,72,3,,510,7.4,15,,10,2.2,0.72,2.4,,1.9,,1,,0.96,,,,,1.05,,,,,,,485.7142857,10.77147016,4.954954955,2.173878523,50.5
Flat,63.45,0.51,17.31,4.82,5.56,2.34,0.08,0.99,4.56,0.32,-0.09,12.1,,84,24,,,10,18,62,,15.8,524,8.9,93,2.8,0.38,480,6.5,13.8,1.8,8.3,2,0.6,1.8,0.2,1.5,0.3,0.7,0.1,0.8,0.1,1.8,0.3,4.8,0.8,0.4,0.512886,0.704161,18.868,15.596,38.565,600,9.461426492,4.504504505,2.100436681,50.5
Flat,63.45,0.61,17.23,4.48,5.09,2.48,0.09,1.27,4.44,0.21,0.26,12.3,,72,27,,12.8,18,23,59,20,23,584,8.7,126,3.4,1.98,429,12.4,26.4,3.2,12.9,2.53,0.82,2.5,0.34,1.62,0.34,0.83,,0.74,0.11,2.39,0.27,13,1.96,0.49,0.51278,0.70404,,,,218.877551,18.04949054,5.698198198,3.167578577,47.31999969
Flat,63.45381526,0.522088353,17.06827309,5.01,5.421686747,2.329317269,0.0803,0.993975904,4.417670683,0.140562249,0.34,12.9,,125,26,,15,14,,,,16,445,10.6,66,3.2,,500,7.7,16,,10,2.2,0.72,2.6,,1.8,,1,,0.91,,,,,1.15,,,,,,,434.7826087,11.20815138,4.954954955,2.262008734,50.5
Flat,63.4571114,0.520468422,17.01531378,4.99,5.404864378,2.352116905,0.0801,1.010909819,4.484035632,0.130117105,0.06,12.7,,122,28,,16,15,,,,15.6,445,11.2,81,2.7,,522,7.6,15.5,,9.5,2.2,0.73,2.4,,1.95,,1,,0.97,,,,,1.2,,,,,,,435,11.06259098,4.954954955,2.232631997,50.5
Flat,63.46,0.59,17.27,4.79,4.96,1.74,0.07,1.56,3.96,0.15,0.83,8.3,,92.8,4.7,,12.68,11.09,23.08,67.64,19.7,31.77,517.64,10.19,87.36,3.46,0.75,617.16,12.81,24.19,3.25,14.04,2.97,0.86,2.61,0.33,2.01,0.37,0.96,0.14,0.92,0.13,2.45,0.24,5.89,2.51,1.19,0.51290028,0.704031,18.964,15.605,38.71,245.8804781,18.64628821,6.689189189,2.787525914,50.5
Flat,63.46,0.74,17.39,4.07,1.83,0.56,0.14,4.6,5.79,0.23,0.66,,,,,,,,,,,100,264,29.4,493,46.6,,783,52.3,96,10.5,37.5,6.84,1.68,5.74,0.88,5.1,0.98,2.86,0.46,3.08,0.5,9.71,3.67,28.8,11.8,3.03,,,,,,66.3559322,76.12809316,15.40540541,4.941648152,36.16999817
Flat,63.47293361,0.512202471,17.07341569,4.94,5.423320277,2.330019082,0.0803,1.00431857,4.479260822,0.130561414,0.3,12.3,,120,25,,14,14,,,,16,449,11,81,2.7,,520,7.6,15,,10,2.25,0.71,2.2,,1.85,,1,,0.94,,,,,0.95,,,,,,,547.3684211,11.06259098,5.067567568,2.183017952,50.5
Flat,63.49,0.57,16.56,5.55,5.4,2.75,0.09,1.05,4.4,0.14,,16,,121,26,,,16,28,75,,15.9,386,11.6,76,2.87,0.35,467,7.75,15.3,2.17,9.88,2.58,0.78,2.51,0.39,2.22,0.43,1.14,0.16,0.98,0.15,2.27,0.2,3.99,0.95,0.46,,,,,,491.5789474,11.28093159,5.810810811,1.941369622,50.5
Flat,63.5,0.83,16.1,3.79,4.2,2.17,0.06,3.45,4.36,0.25,,8.1,,93,65,,11,21,28,93,,114,646,14,283,15.5,4.2,875,45.3,98.4,,40.3,7.58,1.54,,0.55,,,,,1.17,0.177,7,1.08,13,15.3,5.5,,,,,,57.18954248,65.93886463,17.07207207,3.862382044,61
Flat,63.50806452,0.524193548,17.03629032,4.94,5.362903226,2.338709677,0.0806,1.018145161,4.506048387,0.131048387,0.19,13,,116,27,,15,14,,,,16,445,10.6,78,3,,525,7.3,15,,9.7,2.2,0.72,2.4,,1.9,,1,,0.95,,,,,1.1,,,,,,,477.2727273,10.62590975,4.954954955,2.144501786,50.5
Flat,63.56230514,0.522980992,16.94659559,5.04,5.380669818,2.343357136,0.0805,0.995675349,4.425223776,0.140802575,0.17,12.6,,123,28,,15,15,,,,16,452,10.4,75,3,,525,7.4,16,,10,2.2,0.71,2.8,,1.9,,1,,0.93,,,,,1.2,,,,,,,437.5,10.77147016,4.954954955,2.173878523,50.5
Flat,63.56356356,0.510510511,17.01701702,4.91,5.455455455,2.302302302,0.0801,1.001001001,4.484484484,0.13013013,0.15,12.6,,120,25,,15,14,,,,14.9,448,11,82,3,,525,7.5,15.5,,9.7,2.3,0.72,2.4,,1.9,,1,,0.98,,,,,1.05,,,,,,,500,10.91703057,5.18018018,2.107461553,50.5
Flat,63.6,0.23,18.86,0.88,4.27,0.04,0,3,5.57,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,42
Flat,63.6,0.45,16.35,4.59,4.82,2.18,0.08,2.05,4,0.15,1.24,9,,116,38,,15,25,,,,52.5,525,8.4,60,3.4,,830,16.5,29,,14.5,2.7,0.75,2.5,,1.5,,0.8,,0.64,,,,,5,,,,,,,166,24.01746725,6.081081081,3.949539059,57.66999817
Flat,63.6,0.65,16.78,4.53,4.82,2.35,0.09,2.46,4.31,0.2,,,,82,26,,,18,,59,,84,473,15,168,6,,563,,,,,,,,,,,,,,,,,14,,,,,,,,,819.5050946,0,,53.66999817
Flat,63.64,0.56,17.55,4.18,4.91,2.31,0.09,1.22,4.72,0.02,-0.12,,,58,21,,,16,,57,20,21.9,598,7.6,121,3.2,,494,5,20,,,,,,,,,,,,,,,9,,,,,,,,,719.0684134,0,,47.31999969
Flat,63.64183899,0.532021682,16.86408352,5.01,5.320216824,2.358964063,0.0803,0.983738205,4.497088938,0.150572174,0.07,11,,120,29,,14,15,,,,15.7,500,8.7,72,2.9,,490,7.6,15,,10.5,2.2,0.71,2.4,,1.6,,0.8,,0.71,,,,,0.95,,,,,,,515.7894737,11.06259098,4.954954955,2.232631997,50.5
Flat,63.66,0.713,16.93,3.55,2.56,0.93,0.104,4.21,5.55,0.24,0.16,4,,30,0,,8,0,20,0,17,116,361,25.7,480,44.1,4.3,607,37.7,68.5,7.47,27.2,5.04,1.28,4.42,0.73,4.34,0.84,2.61,0.428,2.9,0.451,10.6,4.39,5,19.5,5.87,0.512761,0.704087,,,,31.12820513,54.87627365,11.35135135,4.834338393,36.16999817
Flat,63.66,0.46,13.36,2.7,4.25,0.95,0.07,3.68,3.5,0.12,,8.7,,54,11.96,,15.81,6.24,14.42,57.91,13.64,135.32,214.79,21.5,195.4,8.45,4.58,532.25,26.36,51.36,5.91,22.33,4.17,0.75,3.45,0.59,3.7,0.74,2.32,0.37,2.84,0.39,5.56,0.86,17.17,18.62,4.76,,,,,,28.58485499,38.36972344,9.391891892,4.085409402,41
Flat,63.67,0.54,16.96,5.05,5.36,2.58,0.08,1.04,4.57,0.15,,13,,111,35,,,15,22,72,,16.3,466,9.7,79,2.7,0.42,465,7.83,15.5,2.04,9.28,2.4,0.77,2.24,0.34,1.89,0.36,0.95,0.13,0.81,0.12,2.38,0.19,4.19,0.96,0.45,0.512894,0.704139,18.921,15.596,38.572,484.375,11.39737991,5.405405405,2.108515284,50.5
Flat,63.68,0.52,16.29,5.18,5.34,3.12,0.09,1.24,4.41,0.13,,16,,114,96,,,28,28,69,,22,397,12.7,97,3.24,0.47,576,9.17,17.1,2.21,9.6,2.46,0.74,2.38,0.39,2.27,0.46,1.28,0.18,1.18,0.18,2.76,0.24,4.83,1.58,0.66,,,,,,364.556962,13.34788937,5.540540541,2.409131253,50.5
Flat,63.68,0.61,17.56,4.11,4.85,2.19,0.08,1.34,4.31,0.09,-0.02,7.9,,87,23,,12.3,19.7,16.4,54.7,,24.7,571,8.4,92.3,3.7,1.88,426,12.8,26.8,3.17,12.6,2.52,0.82,2.32,0.29,1.5,0.28,0.75,,0.7,0.1,2.32,0.24,9.8,1.88,0.51,,,,,,226.5957447,18.63173217,5.675675676,3.282733763,47.31999969
Flat,63.7,0.64,16.75,4.52,4.8,2.29,0.09,2.46,4.35,0.19,,10.7,,73,23,,13,16,,56,,88,482,14,167,5.9,4.2,563,20,42.7,,19.2,3.63,0.96,,0.45,,,,,1.44,0.22,4.02,0.37,14,7.39,,,0.704031,,,,76.18403248,29.11208151,8.175675676,3.560816582,53.66999817
Flat,63.72,0.57,17.2,4.18,4.88,2.21,0.09,1.27,4.49,0.18,0.32,9.5,,72,23,,39.8,18,30.6,60,20,23.5,581,8.4,125,3.5,2.17,442,13.9,32,3.9,15.5,2.92,0.93,2.49,0.35,1.68,0.34,0.89,,0.86,0.13,2.79,,9,1.64,0.59,0.512799,0.70401,,,,269.5121951,20.23289665,6.576576577,3.076508943,47.31999969
Flat,63.74,0.69,17.07,,5.28,1.81,0.07,0.98,3.95,0.19,,7,,128,16,,,5,,,,18,448,8,95,4.4,,535,9.8,20.8,,12.5,2.75,0.85,2.7,,1.6,,0.6,,0.5,,,,,1.6,,,,,,,334.375,14.26491994,6.193693694,2.303136165,57.66999817
Flat,63.75,0.59,17.22,4.34,5.03,2.33,0.09,1.26,4.43,0.18,0.34,5.2,,76,25,,34.1,21,26.4,61,20,23.3,585,8.5,125,3.5,0.68,426,10.1,26.3,3.16,12.9,2.45,0.8,2.15,0.3,1.46,0.3,0.76,,0.71,0.11,2.61,,9,1.26,0.53,,,,,,338.0952381,14.70160116,5.518018018,2.66429017,47.31999969
Flat,63.8,0.41,16.7,4.95,5,2.54,0.09,1.76,4.18,0.13,0.45,11.5,,120,48,,20,25,,,,42.5,518,9.5,74,2.8,,800,12,22.5,,11,2.15,0.6,2,,1.75,,0.85,,0.84,,,,,3.3,,,,,,,242.4242424,17.46724891,4.842342342,3.607190007,57.66999817
Flat,63.87,0.64,16.27,,5.49,2.16,0.08,1.08,4.09,0.15,,8.7,,138,37,,,11,,,,20.6,430,8.8,68,3.9,,572,9,19,,12,2.8,0.8,2.55,,1.9,,0.7,,0.6,,,,,1.45,,,,,,,394.4827586,13.10043668,6.306306306,2.077354959,57.66999817
Flat,63.87,0.59,17.18,4.44,4.98,2.49,0.09,1.29,4.43,0.18,0.36,,,79,25,,,19,,60,20,24.8,559,9,122,3.6,,440,12,26,,,,,,,,,,,,,,,9,,,,,,,,,640.4657933,0,,47.31999969
Flat,63.88,0.64,16.07,4.08,3.83,1.7,0.1,2.78,4.85,0.16,,11,,82,22,,,8,28,64,17,86,361,24,222,6,,545,20,39,,21,,,,,,,,,,,,,14,10,,,,,,,54.5,29.11208151,0,,54.33000183
Flat,63.9,0.95,15.63,,3.44,1.25,0.13,3.01,4.79,0.32,,16.5,,43,3.4,,6.3,7.5,,93,19,94.5,267,41.3,284,9.7,3.99,652,32.4,83.6,,43,8.65,1.84,,1.39,,,,,4.34,0.65,6.9,0.63,,9.88,,0.51271,0.70458,,,,65.99190283,47.16157205,19.48198198,2.420778959,36.84000015
Flat,63.91,0.68,16.86,,5.17,1.82,0.07,1.01,4.19,0.16,,7,,125,14,,,4,,,,19.2,455,8,88,4.1,,550,9,20,,11.8,2.9,0.88,3.2,,1.6,,0.8,,0.48,,,0.31,,1.35,,0.512853,0.704281,,,,407.4074074,13.10043668,6.531531532,2.00572203,57.66999817
Flat,63.93,0.645,17.56,3.18,1.98,0.58,0.098,5.27,5.76,0.18,0.26,4,,17,0,,9,0,0,40,24,161,261,28,576,73,4.9,625,37.2,72.5,7.98,29,5.6,1.3,5,0.8,4.8,1,3,0.48,3.5,0.62,13.2,5.3,16,25.8,7.4,,,,,,24.2248062,54.14847162,12.61261261,4.29320025,36.16999817
Flat,63.95582329,0.502008032,16.31526104,4.83,5.190763052,2.851405622,0.0904,1.214859438,4.37751004,0.130522088,0.17,13.2,,110,86,,16,29,,,,20,403,12,105,3.2,,590,9,16,,9.9,2.2,0.75,2.3,,2.1,,1.2,,1.18,,,,,1.6,,,,,,,368.75,13.10043668,4.954954955,2.643906312,50.5
Flat,63.97,0.74,16.31,3.97,4.09,2.08,0.06,3.02,4.46,0.2,,7.5,,33,51,,10,15,15,81,,98,765,10,253,11,3.1,937,41.2,84.5,,33.2,5.86,1.47,,0.507,,,,,0.75,0.095,5.9,0.67,14,8.8,2.2,,,,,,106.4772727,59.97088792,13.1981982,4.543869324,59.47000122
Flat,63.98,0.9,15.32,5.43,4.59,2.55,0.08,2.49,3.76,0.29,0.8,11.88,,158.16,49.2,,17.22,47.49,,,,57.7,376.5,23.83,246.62,9.62,,809.53,24,50.4,,27.33,5.74,1.36,5.01,,4.05,,2.04,,1.87,,,,,6.55,,,,,,,123.5923664,34.93449782,12.92792793,2.702250354,48.99000168
Flat,63.99,0.575,17.19,3.7,1.61,0.53,0.129,5.04,5.81,0.19,0.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,36.16999817
Flat,63.99,0.575,17.19,3.7,1.61,0.53,0.129,5.04,5.81,0.19,0.27,7,,13,0,,8,0,0,130,21,127,167,34,586,58,3.9,872,49.7,92.3,8.3,30.9,6.9,1.64,6,0.9,5.5,1.1,3.5,0.56,3.9,0.64,12.5,4.9,18,17.4,4.8,,,,,,50.11494253,72.34352256,15.54054054,4.655148408,36.16999817
Flat,64,0.57,16.84,4.54,5.45,2.14,0.07,1.57,4.11,0.15,0,6.3,,82.5,13.2,,12.9,13.87,24.69,66.99,19.9,31.63,535.92,7.67,84.8,3.55,0.76,630.04,11.44,23.36,2.96,12.62,2.64,0.78,2.14,0.28,1.62,0.28,0.76,0.1,0.68,0.1,2.45,0.25,6.73,2.4,1.22,,,,,,262.5166667,16.65211063,5.945945946,2.800582242,50.5
Flat,64.05,0.58,17.18,4.29,4.97,2.27,0.09,1.29,4.48,0.18,0.1,7.2,,76,24,,25.2,19,21.6,61,20,23.6,587,8,127,3.4,1.93,438,11.6,24,3.26,13.2,2.49,0.84,2.14,0.3,1.57,0.3,0.78,,0.75,0.11,2.46,,10,1.44,0.5,0.512784,0.70402,,,,304.1666667,16.88500728,5.608108108,3.010820575,47.31999969
Flat,64.05,0.97,15.66,,2.53,1.13,0.15,2.28,5.99,0.26,,,,20,4,,,3,,,,67,340,35,281,13,,640,,,,,,,,,,,,,,,,,,,,,0.70397,,,,,931.5866084,0,,47.08000183
Flat,64.08,0.58,16.68,4.53,5.33,2.1,0.07,1.57,4.12,0.14,0.27,7.4,,90.7,15.2,,12.92,15.06,25.1,62.75,19.3,29.65,515.98,6.95,83.57,3.47,0.64,620.08,11.21,22.24,2.8,12.05,2.54,0.77,2.15,0.27,1.47,0.26,0.67,0.08,0.58,0.08,2.41,0.26,7.2,2.24,1.13,0.51290407,0.704,18.989,15.613,38.741,276.8214286,16.31732169,5.720720721,2.852319224,50.5
Flat,64.08,0.52,17.26,3.72,4.44,1.99,0.08,1.33,4.48,0.17,1.65,8.3,,50,26,,10,14,11.7,52,19,26,562,6.9,128,3.2,2.16,499,12.1,25.5,2.96,12.2,2.23,0.75,1.91,0.29,1.28,0.26,0.64,,0.61,0.09,2.15,0.23,9,2.34,0.56,,,,,,213.2478632,17.61280932,5.022522523,3.506765622,47.31999969
Flat,64.11,0.671,17.73,3.24,2.2,0.68,0.093,4.56,5.89,0.07,0.27,4,,18,0,,10,0,0,0,21,134,345,18.6,516,50.6,5,652,19,32.2,3.31,12.3,2.41,1.24,2.35,0.44,2.73,0.57,1.92,0.342,2.45,0.372,11.1,4.68,7,19.4,5.95,,,,,,33.60824742,27.65647744,5.427927928,5.09521825,36.16999817
Flat,64.14111044,0.461014231,16.63660052,4.82,5.30166366,2.495490078,0.090198437,1.022248948,4.3595911,0.130286631,0.18,11.8,,102,46,,14.5,19,,,,17.2,450,10,51,2.8,,512,7.5,15.3,,9.3,2,0.68,1.95,,1.7,,0.95,,0.89,,,,,0.9,,,,,,,568.8888889,10.91703057,4.504504505,2.423580786,50.5
Flat,64.16,0.814,16.29,4.52,3.43,2.53,0.069,3.48,4.42,0.276,,9.1,,,63,,12,12,,,,,738,,,,2.6,1094,48.28,98.5,,43.1,7.45,1.65,,0.55,,,,,1.14,0.134,7.1,0.8,,11.3,2.7,,0.706522,18.709,15.617,38.744,96.81415929,70.27656477,16.77927928,4.188294599,59.47000122
Flat,64.16,0.74,16.6,3.97,3.9,1.86,0.06,3.06,4.27,0.21,,7.7,,81,33,,10,14,17,79,,92,703,13,270,10,2.3,1120,47.7,78.4,,43.1,6.81,1.32,,0.596,,,,,1.03,0.137,4.3,0.68,13,7.9,2,,,,,,141.7721519,69.43231441,15.33783784,4.526864552,59.47000122
Flat,64.17,0.66,17.05,,5.05,1.77,0.07,1.02,4.2,0.16,,6.5,,118,13,,,6,,,,19.4,448,7.6,89,4.3,,540,9.5,20,,12,2.95,0.82,2.55,,1.55,,0.55,,0.52,,,,,1.55,,,,,,,348.3870968,13.82823872,6.644144144,2.081267116,57.66999817
Flat,64.2,0.45,17.69,4.18,5.51,1.86,0.07,1.08,4.66,0.32,-0.13,11.1,,65,19,,,5,20,49,,17.1,485,8.6,92,2.8,0.45,555,6.6,13.7,1.7,8,1.7,0.5,1.6,0.2,1.4,0.3,0.8,0.1,0.7,0.1,2,0.3,5.1,0.9,0.5,0.51293,0.704153,18.912,15.587,38.566,616.6666667,9.6069869,3.828828829,2.509118931,50.5
Flat,64.2,0.89,15.63,,3.32,1.14,0.13,3.13,4.89,0.29,,,,42,,,,8.4,,91,19,102,265,43.2,309,10.8,,689,,,,,,,,,,,,,,,,,,,,,,,,,,1002.911208,0,,36.84000015
Flat,64.2,,,,,,,,,,,,,,,,,,,,,87,326,,,,,,,,,,,,,,,,,,,,,,,,,,0.70396,18.598,15.623,38.541,,0,0,,7
Flat,64.22,0.65,17.31,4.5,4.95,2.48,0.09,1.27,4.51,0.19,-0.1,10.1,,73,47,,13.5,17,22.9,58,19,23.9,596,7.9,122,3.4,1.73,431,13.3,28,3.08,12.3,2.35,0.85,2.12,0.32,1.46,0.29,0.75,,0.68,0.1,2.28,0.25,14,2.13,0.52,,,,,,202.3474178,19.35953421,5.292792793,3.65771625,47.31999969
Flat,64.22845691,0.450901804,16.73346693,4.68,5.310621242,2.424849699,0.0902,1.022044088,4.408817635,0.130260521,-0.08,11.6,,100,44,,14,18.5,,,,17.6,455,9.9,55,2.8,,507,7.5,15,,9,2,0.68,1.85,,1.75,,0.9,,0.9,,,,,1,,,,,,,507,10.91703057,4.504504505,2.423580786,50.5
Flat,64.23,0.57,16.67,4.46,5.25,2.02,0.06,1.63,4.14,0.15,0.06,6.2,,82.6,11.9,,12.43,13.35,16.82,65.08,19.9,33.21,514.77,7.22,85.38,3.52,0.93,633.48,11.95,23.66,3.04,12.63,2.7,0.77,2.12,0.27,1.56,0.26,0.67,0.09,0.65,0.1,2.43,0.26,7.11,2.38,1.2,0.51290825,0.704,19.004,15.622,38.765,266.1680672,17.3944687,6.081081081,2.860423743,50.5
Flat,64.24,0.51,13.93,3.1,3.27,1.12,0.08,3.51,3.64,0.12,,10.09,,68,9.91,,36.18,5.48,14.24,55.63,13.96,131.67,196.59,21.3,199.53,8.4,4.25,495.46,25.64,50.02,5.75,22.3,3.99,0.79,3.64,0.56,3.74,0.75,2.34,0.39,2.66,0.38,5.69,0.8,15.81,17.27,4.03,,,,,,28.68905617,37.3216885,8.986486486,4.153090149,41
Flat,64.26,0.39,16.9,4.47,5.24,2.55,0.09,1.78,4.19,0.13,,11,,111,33,,,23,41,61,,40,534,9.2,81,2.49,1.02,782,12,20.9,2.43,9.92,2.28,0.68,1.99,0.3,1.78,0.34,0.9,0.13,0.78,0.12,2.39,0.18,6.83,3.06,1.1,0.512888,0.703947,18.958,15.597,38.698,255.5555556,17.46724891,5.135135135,3.401516893,57.66999817
