Mode,SIO2(WT%),TIO2(WT%),AL2O3(WT%),FEOT(WT%),CAO(WT%),MGO(WT%),MNO(WT%),K2O(WT%),NA2O(WT%),P2O5(WT%),LOI(WT%),SC(PPM),TI(PPM),V(PPM),CR(PPM),MN(PPM),CO(PPM),NI(PPM),CU(PPM),ZN(PPM),GA(PPM),RB(PPM),SR(PPM),Y(PPM),ZR(PPM),NB(PPM),CS(PPM),BA(PPM),LA(PPM),CE(PPM),PR(PPM),ND(PPM),SM(PPM),EU(PPM),GD(PPM),TB(PPM),DY(PPM),HO(PPM),ER(PPM),TM(PPM),YB(PPM),LU(PPM),HF(PPM),TA(PPM),PB(PPM),TH(PPM),U(PPM),ND143_ND14,SR87_SR86,PB206_PB20,PB207_PB20,PB208_PB20,Ba/Th,La (PM),Sm (PM),La/Sm (PM),Crustal Thickness
Flat,45.07,1.42,15.66,9.32,11.04,9.14,0.17,1.45,3.3,0.54,1.4,29.59667602,0.85983834,274.6043213,319.585392,0.133169051,43.85069644,185.7873456,57.347942,79.80485781,20.23055602,39.73315306,1046.784594,25.17750577,145.6487349,10.96149486,1.497024983,616.014569,27.95838487,58.67394776,7.810004692,32.81070794,6.907241673,2.084980473,6.537551292,0.910835649,4.915782319,0.90099109,2.343165368,0.290295327,1.980124516,0.295129638,3.552868964,0.56608308,9.151303191,5.410097437,1.688730453,,,,,,113.8638585,40.69633897,15.55685061,2.615975429,48.58000183
Flat,45.27,1.38,15.29,10.05,11.54,10.87,0.18,1.07,2.98,0.49,1.1,24.27,,213.02,438.94,1203,40.47,186.43,60.11,64.42,15.98,14.86,662,17.82,102.6,9.48,0.75,397,24.4,47.38,6.3,25.57,5.26,1.45,4.82,0.675,3.54,0.649,1.7,0.229,1.37,0.206,2.52,0.52,4.81,5,0.97,0.51281,0.703721,18.597,15.6038,38.4977,79.4,35.51673945,11.84684685,2.997990934,43
Flat,45.27,1.81,15.82,9.53,11.41,6.97,0.16,0.89,3.02,0.37,2.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,36.16999817
Flat,45.28,1.63,15.2,10.28,10.78,10.37,0.18,1.38,3.34,0.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,37.16999817
Flat,45.34,1.53,14.2,9.79,11.46,11.47,0.18,1.18,3.02,0.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,37.16999817
Flat,45.39,1.34,15.24,10.63,11.05,11.28,0.2,0.98,2.31,0.56,1.2,27.35,,230.64,508.2,1484,49.52,239.64,35.93,75.65,20.14,25.17,992,23.64,138.89,10.99,1.36,607,38.32,77.47,9.94,40.62,7.64,2.18,6.8,0.925,4.65,0.83,2.2,0.292,1.81,0.263,3.67,0.599,11.45,8.83,1.66,0.51282,0.703919,18.5787,15.608,38.5123,68.74292186,55.77874818,17.20720721,3.241592172,38.84000015
Flat,45.45,1.59,14.97,10.17,10.14,10.2,0.18,1.34,3.18,0.7,0.4,24.39941432,0.875778631,221.0164174,362.2889356,0.128580162,44.4891919,189.8834524,46.82336987,75.26691775,19.38660547,28.78691579,905.7108507,25.91847817,136.0923387,17.85258395,1.104760748,580.6291432,30.57235989,61.9322619,8.135121471,33.43324924,6.997260498,2.083324004,6.475667248,0.916746776,4.874794713,0.896588084,2.401162783,0.32881051,1.912797196,0.275935853,3.20550847,0.944201944,8.178827272,5.643923617,1.408110384,,,,,,102.8768606,44.50125166,15.75959572,2.823755917,36.84000015
Flat,45.5,1.44,15.74,9.42,10.47,9.46,0.17,1.48,3.55,0.58,0.7,27.42997825,0.838221883,262.6377392,285.4773263,0.14292345,44.2568767,159.0295211,57.64191993,75.69057743,20.59523253,41.48269844,1145.597223,25.69259187,149.6,11.05516704,2.010309028,600.1503614,30.52781828,63.28788819,8.267262554,34.33491025,7.142809573,2.115477235,6.565735127,0.940562407,4.940317179,0.886518919,2.377153256,0.322150984,1.980859346,0.299406999,3.713,0.585541053,10.42582478,5.658647634,1.655416956,0.512799,0.70382,18.594,15.601,38.444,106.0589738,44.43641671,16.08740895,2.762186058,48.58000183
Flat,45.51,1.43,15.77,9.81,12.27,9.38,0.17,1.13,3.28,0.47,1.7,26.88,,237,297.94,1230,43.18,167.51,41.17,73.84,18.18,23.25,753,22.55,115.53,13.13,1.06,562,26.67,52.45,5.83,24.3,4.99,1.64,5.14,0.74,4.17,0.8,2.13,0.31,1.84,0.29,2.84,0.67,7.13,5.16,1.38,0.512784,0.7039,18.5476,15.5989,38.4274,108.9147287,38.8209607,11.23873874,3.45420973,38.84000015
Flat,45.52,1.86,17.16,9.42,11.65,6.27,0.15,0.97,3.26,0.4,1.9,24.37726005,1.091444656,212.0245373,116.5996044,0.117943887,38.26202253,56.63202203,46.12690337,80.76937072,20.41939773,12.64722904,741.5444981,24.09304945,160.7320245,15.56558701,0.415843395,306.4581434,15.69973087,35.40885634,4.609041982,20.88960167,4.727477302,1.704064163,5.075228016,0.77846105,4.323789407,0.828171206,2.267883103,0.329362206,1.926074954,0.291213143,3.444217899,0.862968316,2.266691713,1.204131281,0.527583409,,,,,,254.5055911,22.85259224,10.6474714,2.146292897,36.16999817
